科类方向代码,科类方向名称,院校代码,院校名称,专业代码,专业名称,计划数,综合分,位次号
B,美术与设计类,3281,苏州大学,37,服装与服饰设计,4,602,B-00661
B,美术与设计类,3732,山东大学威海分校,12,美术学,3,602,B-00653
Ec,表(导)演类戏剧影视导演方向,3272,南京艺术学院,23,戏剧影视导演,1,602,Ec00031
B,美术与设计类,3216,江南大学,49,服装与服饰设计,6,601,B-00662
B,美术与设计类,3267,南京信息工程大学,40,美术学(师范),2,601,B-00698
B,美术与设计类,3272,南京艺术学院,32,动画,1,601,B-00699
B,美术与设计类,5141,西南财经大学,29,数字媒体艺术,3,601,B-00678
Cd,音乐类音乐教育声乐主项,1149,首都师范大学,11,音乐学（声乐主项）(师范),2,601,Cd00023
D,舞蹈类,1130,北京师范大学,4,舞蹈学,2,601,D-00003
B,美术与设计类,2,中国美术学院,13,环境设计(中外合作办学),19,600,B-00729
B,美术与设计类,3112,上海大学,32,实验艺术,2,600,B-00738
B,美术与设计类,3543,厦门大学,24,视觉传达设计(中外合作办学),7,600,B-00734
B,美术与设计类,4037,华中农业大学,29,数字媒体艺术,4,600,B-00716
B,美术与设计类,4093,中国地质大学(武汉),30,设计学类,12,600,B-00707
B,美术与设计类,5143,西南交通大学,57,设计学类,14,600,B-00743
B,美术与设计类,3145,上海师范大学,6,设计学类,3,599,B-00769
B,美术与设计类,3267,南京信息工程大学,38,艺术与科技,2,599,B-00777
B,美术与设计类,3272,南京艺术学院,9,工艺美术,1,599,B-00751
B,美术与设计类,3272,南京艺术学院,12,艺术与科技,2,598,B-00792
B,美术与设计类,3272,南京艺术学院,25,戏剧影视美术设计,1,598,B-00811
B,美术与设计类,3732,山东大学威海分校,14,环境设计,4,598,B-00793
B,美术与设计类,4037,华中农业大学,28,视觉传达设计,3,598,B-00819
G,播音与主持类,3511,福建师范大学,3,播音与主持艺术,5,598,G-00096
G,播音与主持类,5103,成都理工大学,6,播音与主持艺术,6,598,G-00094
B,美术与设计类,5,宁波大学,62,视觉传达设计,20,597,B-00844
B,美术与设计类,3272,南京艺术学院,2,中国画,1,597,B-00858
Cc,音乐类音乐教育器乐主项,3112,上海大学,43,音乐学,3,597,Cc00036
B,美术与设计类,4440,深圳大学,31,美术学,5,596,B-00886
Ca,音乐类音乐表演器乐方向,4447,香港中文大学(深圳),5,音乐表演（器乐大类）,5,596,Ca00056
Ea,表(导)演类戏剧影视表演方向,5011,重庆大学,11,表演,5,596,Ea00029
B,美术与设计类,3113,上海第二工业大学,12,视觉传达设计,1,595,B-00928
B,美术与设计类,3254,南京林业大学,20,产品设计,2,595,B-00944
B,美术与设计类,3267,南京信息工程大学,36,动画,4,595,B-00948
B,美术与设计类,3517,福州大学,30,设计学类,35,595,B-00942
Cc,音乐类音乐教育器乐主项,3145,上海师范大学,2,音乐学(师范),2,595,Cc00038
Ec,表(导)演类戏剧影视导演方向,5131,四川师范大学,18,戏剧影视导演,3,595,Ec00049
B,美术与设计类,3404,安徽大学,16,视觉传达设计,7,594,B-00961
Ec,表(导)演类戏剧影视导演方向,3767,山东艺术学院,6,戏剧影视导演,1,594,Ec00050
B,美术与设计类,1134,北京舞蹈学院,10,戏剧影视美术设计（舞台服装与化装设计）,1,593,B-01014
B,美术与设计类,3136,上海理工大学,13,设计学类,10,593,B-01019
B,美术与设计类,3145,上海师范大学,8,中国画(师范),2,593,B-01011
B,美术与设计类,3543,厦门大学,25,环境设计(中外合作办学),7,593,B-01023
Ca,音乐类音乐表演器乐方向,4447,香港中文大学(深圳),3,音乐学,2,593,Ca00065
Cc,音乐类音乐教育器乐主项,4342,湖南师范大学,22,音乐学(师范),1,593,Cc00043
B,美术与设计类,3,浙江工业大学,46,设计学类,83,592,B-01086
B,美术与设计类,5,宁波大学,61,美术学(师范),14,592,B-01064
B,美术与设计类,3101,东华大学,7,服装与服饰设计(中外合作办学)（中英合作）,11,592,B-01061
B,美术与设计类,3145,上海师范大学,7,绘画,2,592,B-01092
B,美术与设计类,3254,南京林业大学,19,设计学类,8,592,B-01099
B,美术与设计类,3272,南京艺术学院,5,公共艺术,1,592,B-01103
B,美术与设计类,3404,安徽大学,18,产品设计,3,592,B-01083
B,美术与设计类,3517,福州大学,29,美术学类,5,592,B-01058
B,美术与设计类,6132,西安美术学院,18,数字媒体艺术,2,592,B-01046
Ea,表(导)演类戏剧影视表演方向,4440,深圳大学,29,表演（影视戏剧）,6,592,Ea00043
B,美术与设计类,3220,江苏大学,56,数字媒体艺术,2,591,B-01109
B,美术与设计类,3267,南京信息工程大学,39,数字媒体艺术(中外合作办学),4,591,B-01158
